employeeId,jobTitle,functionalL1,functionalL2,managementLevel,fte,salary,managerId,activeStatus,jobFamilyGroup,badgeNo,workState,jobCode,workerType,employeeType,programmedHours
"100001","Chief Executive Officer","Executive","Leadership","Executive","1","450000","","Yes","Executive","B100001","Georgia","9999","Employee","Regular","40"
"100002","VP Revenue Cycle & Finance","Revenue Cycle","Leadership","VP","1","195000","100001","Yes","Revenue Cycle","B100002","Georgia","9001","Employee","Regular","40"
"100003","VP Information Technology","IT","Leadership","VP","1","205000","100001","Yes","IT","B100003","Georgia","9002","Employee","Regular","40"
"100004","VP Operations","Supply Chain","Leadership","VP","1","188000","100001","Yes","Supply Chain & Logistics","B100004","Georgia","9003","Employee","Regular","40"
"100010","Director PFS","Revenue Cycle","Revenue Cycle PFS","Director","1","155000","100002","Yes","Revenue Cycle","B100010","Georgia","8501","Employee","Regular","40"
"100011","Director Coding","Revenue Cycle","Coding","Director","1","148000","100002","Yes","Medical Quality and Regulatory","B100011","Georgia","8502","Employee","Regular","40"
"100012","Director IT Infrastructure","IT","IT Infrastructure","Director","1","172000","100003","Yes","IT","B100012","Georgia","8503","Employee","Regular","40"
"100013","Director Applications","IT","Application & Data Administration","Director","1","168000","100003","Yes","IT","B100013","Georgia","8504","Employee","Regular","40"
"100020","Sr Project Coordinator","Revenue Cycle","Revenue Cycle PFS","Staff","1","102049","100010","Yes","Revenue Cycle","1009313","Georgia","8162","Employee","Regular","40"
"100021","Reimbursement Auditor","Revenue Cycle","Revenue Cycle PFS","Staff","0.5","46675","100010","Yes","Revenue Cycle","1044975","Georgia","7590","Employee","Regular","20"
"100022","Sr Reimbursement Analyst","Revenue Cycle","Reimbursement","Staff","1","93350","100010","Yes","Finance","1050066","Georgia","8172","Employee","Regular","40"
"100023","Charge Capture Analyst","Revenue Cycle","Coding","Staff","1","69044","100011","Yes","Medical Quality and Regulatory","1094909","Georgia","6086","Employee","Regular","40"
"100030","Network Engineer","IT","IT Infrastructure","Staff","1","118777","100012","Yes","IT","1051417","Georgia","7052","Employee","Regular","40"
"100031","Sr Service Analyst","IT","IT Help Desk","Staff","1","96550","100012","Yes","IT","1044830","Georgia","8178","Employee","Regular","40"
"100032","Sr Application Analyst","IT","Application & Data Administration","Staff","1","123328","100013","Yes","IT","1000012","Georgia","8271","Employee","Regular","40"
"100040","Sr Category Leader","Supply Chain","Category Management","Staff","1","113443","100004","Yes","Supply Chain & Logistics","1009747","Georgia","8111","Employee","Regular","40"
